2016-02-25 18:50:35 UpdateJob.py[line:47] INFO 进程名称:NingxiGs
2016-02-25 18:50:35 UpdateJob.py[line:48] INFO pid:14264
2016-02-25 18:50:35 UpdateJob.py[line:49] INFO process_identity:1035
2016-02-25 18:50:35 UpdateJob.py[line:50] INFO 主机名/IP:LENOVO-LK
2016-02-25 18:50:42 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:43 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:43 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:43 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:43 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:43 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:43 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:43 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:43 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:43 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:43 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:43 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:43 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:43 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:43 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:43 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:44 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:44 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:44 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:44 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:44 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:44 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:44 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:44 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:44 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:44 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:44 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:44 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:44 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:44 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:44 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:44 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:45 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:45 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:45 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:45 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:45 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:45 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:45 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:45 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:45 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:45 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:45 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:45 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:45 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:45 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:45 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:45 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:45 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:46 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:46 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:46 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:46 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:46 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:46 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:46 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:46 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:46 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:46 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:46 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:46 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:46 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:46 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:46 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:46 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:47 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:47 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:47 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:47 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:47 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:47 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:47 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:47 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:47 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:47 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:47 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:47 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:47 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:47 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:47 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:47 UpdateJob.py[line:106] INFO 待更新数目;10
